r,act_angle,eccentricity,cx,cy,norm_r,angle_90,label,act_r,scale,norm_act_r
267.852,4,0.904,44,104,0.318261405,4,1,112.9247537,0.421593842,0.485640164
265.416,15,0.913,48,100,0.307066604,15,1,110.923397,0.417922797,0.468126653
264.289,15,0.914,48,98,0.301887399,15,1,109.1237829,0.412895667,0.452378556
266.33,16,0.915,48,99,0.311266952,16,1,110.0227249,0.413106766,0.460245035
267.061,17,0.912,49,99,0.314626311,17,1,110.4626634,0.413623342,0.464094857
264.533,16,0.914,48,98,0.303008718,16,1,109.1237829,0.41251482,0.452378556
263.679,15,0.914,49,98,0.299084103,15,1,109.5673309,0.415533019,0.456259964
265.764,16,0.915,49,98,0.308665861,16,1,109.5673309,0.412273035,0.456259964
266.594,16,0.915,49,99,0.312480182,16,1,110.4626634,0.414347897,0.464094857
267.317,15,0.911,49,99,0.315802777,15,1,110.4626634,0.41322723,0.464094857
266.174,15,0.911,49,100,0.310550043,15,1,111.3597773,0.418372107,0.471945338
258.153,11,0.916,47,97,0.273689,11,1,107.7868267,0.417530792,0.440679094
261.436,10,0.911,46,99,0.288776246,10,1,109.1650127,0.417559222,0.45273935
262.178,8,0.909,45,100,0.292186157,8,1,109.658561,0.418259965,0.457058302
264.097,6,0.911,44,102,0.301005051,6,1,111.0855526,0.420624061,0.469545648
264.024,6,0.905,44,101,0.300669574,6,1,110.1680534,0.4172653,0.461516779
266.497,5,0.906,43,103,0.312034412,5,1,111.6154111,0.418824269,0.474182344
266.199,6,0.906,43,103,0.310664933,6,1,111.6154111,0.419293127,0.474182344
265.878,5,0.905,43,102,0.309189756,5,1,110.6932699,0.416331061,0.466112853
266.646,5,0.901,43,103,0.312719151,5,1,111.6154111,0.418590232,0.474182344
265.324,4,0.902,43,102,0.306643811,4,1,110.6932699,0.417200366,0.466112853
266.469,4,0.902,44,102,0.311905736,4,1,111.0855526,0.416879834,0.469545648
267.629,4,0.904,43,103,0.317236594,4,1,111.6154111,0.417052753,0.474182344
267.234,4,0.903,43,103,0.315421345,4,1,111.6154111,0.4176692,0.474182344
263.801,5,0.903,43,102,0.299644763,5,1,110.6932699,0.419608985,0.466112853
268.163,3,0.907,43,104,0.319690626,3,1,112.5388822,0.419665958,0.482263472
266.908,5,0.904,43,103,0.31392319,5,1,111.6154111,0.418179339,0.474182344
267.773,5,0.907,43,103,0.317898355,5,1,111.6154111,0.416828475,0.474182344
264.769,5,0.901,44,102,0.304093272,5,1,111.0855526,0.419556491,0.469545648
265.907,5,0.906,43,103,0.309323027,5,1,111.6154111,0.419753565,0.474182344
262.382,8,0.907,46,101,0.293123653,8,1,110.9819805,0.422978636,0.468639307
260.708,10,0.91,46,100,0.285430674,10,1,110.0727032,0.422206849,0.460682386
259.993,11,0.913,47,99,0.282144843,11,1,109.5901455,0.421511908,0.456459611
256.97,10,0.918,46,98,0.268252444,10,1,108.2589488,0.421290224,0.444810549
254.161,10,0.921,46,96,0.255343496,10,1,106.4518671,0.418836356,0.428997104
257.415,11,0.914,47,97,0.270297471,11,1,107.7868267,0.418727839,0.440679094
255.261,11,0.917,46,96,0.260398619,11,1,106.4518671,0.417031458,0.428997104
256.193,10,0.917,46,97,0.264681688,10,1,107.3545528,0.419037807,0.436896343
255.352,11,0.916,46,96,0.260816816,11,1,106.4518671,0.41688284,0.428997104
258.625,11,0.913,47,97,0.275858107,11,1,107.7868267,0.416768784,0.440679094
258.62,10,0.913,46,98,0.275835129,10,1,108.2589488,0.418602385,0.444810549
260.373,9,0.912,46,99,0.283891159,9,1,109.1650127,0.419263951,0.45273935
261.866,9,0.908,46,101,0.29075234,9,1,110.9819805,0.423812104,0.468639307
264.266,7,0.909,45,102,0.301781701,7,1,111.4854251,0.421868213,0.473044859
264.157,5,0.905,43,102,0.301280785,5,1,110.6932699,0.419043485,0.466112853
267.094,5,0.904,44,103,0.314777965,5,1,112.0044642,0.419344741,0.477586877
265.039,5,0.903,43,102,0.305334075,5,1,110.6932699,0.417648987,0.466112853
265.96,4,0.904,43,103,0.309566592,4,1,111.6154111,0.419669917,0.474182344
265.934,3,0.905,42,103,0.309447107,3,1,111.2339876,0.418276669,0.470844576
264.578,5,0.903,43,102,0.303215518,5,1,110.6932699,0.418376698,0.466112853
266.227,4,0.901,43,103,0.310793608,4,1,111.6154111,0.419249029,0.474182344
268.77,4,0.903,44,104,0.322480136,4,1,112.9247537,0.420153863,0.485640164
264.203,6,0.901,45,102,0.301492181,6,1,111.4854251,0.421968808,0.473044859
265.48,8,0.906,46,103,0.30736072,8,1,112.8051417,0.424910132,0.484593461
264.058,10,0.909,46,101,0.300825823,10,1,110.9819805,0.420293953,0.468639307
263.707,10,0.909,47,101,0.299212779,10,1,111.4001795,0.422439221,0.472298891
260.312,11,0.911,46,100,0.283610829,11,1,110.0727032,0.422849132,0.460682386
259.119,11,0.913,47,99,0.278128317,11,1,109.5901455,0.422933654,0.456459611
257.273,10,0.914,47,97,0.269644901,10,1,107.7868267,0.418958953,0.440679094
259.44,12,0.914,47,98,0.279603494,12,1,108.6876258,0.418931644,0.448561824
258.418,10,0.912,47,98,0.274906825,10,1,108.6876258,0.420588449,0.448561824
259.614,11,0.914,47,99,0.280403123,11,1,109.5901455,0.422127256,0.456459611
257.8,10,0.912,46,98,0.272066764,10,1,108.2589488,0.419933859,0.444810549
259.456,9,0.912,46,100,0.279677024,9,1,110.0727032,0.4242442,0.460682386
263.078,9,0.908,46,101,0.296322168,9,1,110.9819805,0.421859603,0.468639307
263.99,8,0.907,44,102,0.300513325,8,1,111.0855526,0.420794548,0.469545648
266.008,6,0.903,44,103,0.309787179,6,1,112.0044642,0.421056751,0.477586877
267.107,6,0.905,44,103,0.314837708,6,1,112.0044642,0.419324331,0.477586877
265.758,6,0.904,44,102,0.308638288,6,1,111.0855526,0.417995141,0.469545648
266.121,6,0.899,44,102,0.310306478,6,1,111.0855526,0.417424978,0.469545648
264.702,6,0.902,43,101,0.303785369,6,1,109.772492,0.414702163,0.458055292
267.625,5,0.903,44,103,0.317218211,5,1,112.0044642,0.418512711,0.477586877
264.407,7,0.905,44,102,0.302429676,7,1,111.0855526,0.420130907,0.469545648
264.594,8,0.909,45,102,0.303289047,8,1,111.4854251,0.42134525,0.473044859
262.953,9,0.908,46,101,0.295747722,9,1,110.9819805,0.422060142,0.468639307
261.279,11,0.912,46,100,0.288054742,11,1,110.0727032,0.421284157,0.460682386
260.717,11,0.911,47,99,0.285472034,11,1,109.5901455,0.420341388,0.456459611
260.258,12,0.913,47,98,0.283362668,12,1,108.6876258,0.417614927,0.448561824
258.525,12,0.91,48,97,0.275398551,12,1,108.2266141,0.418631135,0.444527594
259.841,13,0.913,47,98,0.281446317,13,1,108.6876258,0.418285127,0.448561824
255.605,11,0.914,46,96,0.261979495,11,1,106.4518671,0.416470206,0.428997104
257.765,11,0.915,46,98,0.27190592,11,1,108.2589488,0.419990879,0.444810549
260.28,11,0.913,46,100,0.283463771,11,1,110.0727032,0.422901119,0.460682386
262.407,10,0.909,45,101,0.293238542,10,1,110.571244,0.421373073,0.465045026
265.323,7,0.907,45,103,0.306639216,7,1,112.4010676,0.423638613,0.481057482
265.712,7,0.906,44,103,0.308426891,7,1,112.0044642,0.421525803,0.477586877
265.297,8,0.907,45,103,0.306519731,8,1,112.4010676,0.423680131,0.481057482
253.95,12,0.918,48,96,0.254373831,12,1,107.3312629,0.422647226,0.436692538
262.597,11,0.911,46,101,0.2941117,11,1,110.9819805,0.422632325,0.468639307
266.801,7,0.907,44,103,0.313431464,7,1,112.0044642,0.419805264,0.477586877
264.958,7,0.904,43,103,0.304961834,7,1,111.6154111,0.421256996,0.474182344
266.591,6,0.904,44,103,0.312466395,6,1,112.0044642,0.420135954,0.477586877
265.91,6,0.906,43,103,0.309336814,6,1,111.6154111,0.419748829,0.474182344
266.123,6,0.905,44,102,0.31031567,6,1,111.0855526,0.417421841,0.469545648
265.933,6,0.906,43,103,0.309442512,6,1,111.6154111,0.419712526,0.474182344
265.055,5,0.904,43,102,0.305407604,5,1,110.6932699,0.417623776,0.466112853
265.744,6,0.904,44,102,0.30857395,6,1,111.0855526,0.418017162,0.469545648
265.277,6,0.905,43,103,0.30642782,6,1,111.6154111,0.420750427,0.474182344
263.197,9,0.911,45,102,0.29686904,9,1,111.4854251,0.423581671,0.473044859
264.531,12,0.909,47,101,0.302999527,12,1,111.4001795,0.421123345,0.472298891
263.289,14,0.912,48,101,0.297291832,14,1,111.8257573,0.424726279,0.476023045
265.604,8,0.906,44,103,0.30793057,8,1,112.0044642,0.421697204,0.477586877
255.791,12,0.915,48,97,0.26283427,12,1,108.2266141,0.423105637,0.444527594
260.769,14,0.914,49,98,0.285711003,14,1,109.5673309,0.420170077,0.456259964
257.265,13,0.915,48,98,0.269608136,13,1,109.1237829,0.424168787,0.452378556
263.747,14,0.908,49,101,0.299396602,14,1,112.25863,0.425629979,0.479811035
262.794,10,0.911,46,102,0.295017027,10,1,111.8928058,0.425781433,0.476609775
264.264,9,0.907,45,103,0.30177251,9,1,112.4010676,0.425336283,0.481057482
265.674,8,0.903,45,104,0.30825226,8,1,113.3181362,0.426530772,0.489082583
265.746,8,0.903,45,104,0.308583141,8,1,113.3181362,0.426415209,0.489082583
268.253,6,0.902,45,104,0.320104227,6,1,113.3181362,0.42243008,0.489082583
266.06,7,0.904,44,104,0.310026149,7,1,112.9247537,0.424433412,0.485640164
266.619,8,0.903,44,103,0.312595071,8,1,112.0044642,0.420091832,0.477586877
264.412,9,0.907,46,103,0.302452654,9,1,112.8051417,0.426626408,0.484593461
264.381,11,0.908,47,102,0.302310192,11,1,112.3076133,0.42479457,0.48023968
262.399,13,0.909,48,100,0.293201778,13,1,110.923397,0.422727971,0.468126653
259.871,12,0.914,48,99,0.281584184,12,1,110.0227249,0.423374385,0.460245035
258.042,13,0.913,48,98,0.273178892,13,1,109.1237829,0.422891556,0.452378556
258.659,13,0.915,48,97,0.276014357,13,1,108.2266141,0.41841426,0.444527594
259.942,13,0.914,49,98,0.281910469,13,1,109.5673309,0.42150684,0.456259964
