r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
292.398,7,0.918,44,108,0.707349395,7,116.959,0.4,0.777614422,1
294.738,18,0.901,53,102,0.732767048,18,115.439,0.392,0.759297197,1
299.764,21,0.905,57,102,0.787360692,21,117.407,0.392,0.783013184,1
302.922,23,0.908,59,100,0.821663661,23,116.751,0.385,0.775107855,1
302.286,23,0.906,58,100,0.814755274,23,116.506,0.385,0.772155407,1
294.512,22,0.897,55,98,0.730312181,22,113.51,0.385,0.736051192,1
293.352,19,0.9,52,100,0.717711977,19,113.063,0.385,0.730664481,1
291.559,17,0.896,51,100,0.698235971,17,112.372,0.385,0.722337374,1
289.048,14,0.895,48,98,0.670960874,14,109.597,0.379,0.688896387,1
287.78,11,0.903,46,98,0.657187548,11,109.117,0.379,0.683112,1
285.027,7,0.906,44,98,0.627283787,7,108.073,0.379,0.670530959,1
284.494,5,0.91,42,99,0.62149421,5,108.463,0.381,0.675230773,1
285.152,3,0.913,42,100,0.628641568,3,109.308,0.383,0.685413704,1
280.729,0,0.909,41,98,0.580597858,0,107.028,0.381,0.657937866,1
279.925,178,0.91,39,99,0.571864613,1,106.722,0.381,0.654250319,1
282.367,175,0.912,40,99,0.598390215,4,107.652,0.381,0.665457569,1
276.602,174,0.912,38,98,0.535769373,5,105.455,0.381,0.638981948,1
279.336,172,0.916,38,99,0.565466751,7,107.079,0.383,0.658552457,1
282.979,173,0.919,39,102,0.605037909,6,109.655,0.388,0.689595334,1
278.741,173,0.914,38,99,0.559003715,6,106.851,0.383,0.655804873,1
276.249,173,0.907,39,97,0.531935,6,105.32,0.381,0.637355089,1
280.186,177,0.909,40,99,0.574699659,2,107.405,0.383,0.66248102,1
280.328,178,0.91,40,100,0.576242098,1,108.043,0.385,0.670169434,1
277.772,179,0.905,40,100,0.548478199,0,108.215,0.39,0.672242173,1
281.125,5,0.891,45,100,0.584899307,5,110.107,0.392,0.695042298,1
285.497,4,0.895,46,102,0.632389042,4,112.415,0.394,0.722855559,1
286.691,7,0.889,48,103,0.645358563,7,114.079,0.398,0.742908101,1
287.71,11,0.89,49,105,0.65642719,11,116.882,0.406,0.77668651,1
286.329,13,0.895,52,105,0.64142643,13,118.111,0.412,0.791496951,1
282.972,16,0.89,53,104,0.604961874,16,117.316,0.415,0.78191656,1
286.111,20,0.887,56,105,0.639058461,20,119.809,0.419,0.81195922,1
289.844,22,0.891,58,105,0.679607221,22,120.768,0.417,0.823515943,1
293.717,24,0.896,62,106,0.721676696,24,122.994,0.419,0.850341038,1
296.851,23,0.906,63,108,0.755718972,23,125.543,0.423,0.881058543,1
298.198,24,0.906,64,107,0.770350416,24,125.492,0.421,0.880443952,1
293.498,24,0.895,62,105,0.719297864,24,122.902,0.419,0.849232364,1
293.818,23,0.898,61,107,0.722773783,23,123.649,0.421,0.858234316,1
287.721,22,0.902,58,106,0.656546675,22,121.682,0.423,0.83453038,1
287.116,19,0.902,55,107,0.649975017,19,120.828,0.421,0.824238992,1
283.116,17,0.899,53,106,0.606526037,17,119.145,0.421,0.803957485,1
286.239,15,0.897,53,107,0.640448828,15,119.863,0.419,0.812609964,1
284.471,11,0.899,49,106,0.621244379,11,117.344,0.412,0.782253983,1
280.286,9,0.903,47,106,0.575785883,9,116.202,0.415,0.768491962,1
279.763,8,0.901,47,106,0.570104929,8,116.568,0.417,0.772902557,1
280.906,5,0.913,44,108,0.582520475,5,117.044,0.417,0.778638741,1
285.953,4,0.912,46,110,0.637342226,4,119.743,0.419,0.811163867,1
283.997,1,0.914,44,110,0.616095675,1,119.516,0.421,0.808428334,1
288.073,179,0.922,44,113,0.660370185,0,121.831,0.423,0.83632595,1
284.419,2,0.915,44,112,0.620679542,2,120.878,0.425,0.824841532,1
282.747,2,0.909,45,110,0.602517868,2,119.578,0.423,0.809175484,1
277.82,5,0.896,47,107,0.548999587,5,117.495,0.423,0.784073655,1
279.984,4,0.904,46,109,0.572505485,4,118.41,0.423,0.795100142,1
284.445,8,0.901,48,109,0.62096196,8,119.704,0.421,0.810693885,1
284.531,10,0.903,48,109,0.621896113,10,119.74,0.421,0.811127714,1
286.246,12,0.902,48,108,0.640524864,12,118.673,0.415,0.798269504,1
285.23,13,0.9,48,105,0.629488823,13,116.469,0.408,0.771709527,1
287.901,16,0.902,48,104,0.658501879,16,115.16,0.4,0.755935022,1
291.412,13,0.907,45,103,0.696639221,13,112.922,0.388,0.728965318,1
294.261,13,0.909,44,100,0.727585757,13,110.348,0.375,0.697946543,1
294.803,16,0.907,45,95,0.733473094,16,105.638,0.358,0.641187245,1
296.522,16,0.905,44,91,0.752145293,16,101.312,0.342,0.589055458,1
301.854,15,0.91,42,89,0.810062784,15,98.731,0.327,0.557952327,1
302.149,14,0.911,40,86,0.813267146,14,95.68,0.317,0.521185317,1
304.41,14,0.915,38,84,0.837826682,14,92.591,0.304,0.483960377,1
299.161,16,0.908,38,80,0.780810758,16,89.748,0.3,0.449699935,1
295.894,14,0.904,37,79,0.745323804,14,87.535,0.296,0.423031501,1
298.916,15,0.904,37,78,0.778149508,15,87.184,0.292,0.418801668,1
298.056,14,0.909,36,79,0.768807977,14,86.933,0.292,0.415776915,1
298.424,13,0.911,36,80,0.772805283,13,88.284,0.296,0.432057555,1
302.432,14,0.909,37,81,0.816341161,14,89.469,0.296,0.44633776,1
299.837,14,0.911,38,84,0.788153636,14,92.45,0.308,0.482261213,1
296.228,12,0.908,38,86,0.748951793,12,94.423,0.319,0.506037454,1
293.675,14,0.902,40,89,0.721220482,14,97.892,0.333,0.547841701,1
292.465,13,0.907,42,93,0.708077165,13,102.363,0.35,0.601720855,1
288.716,14,0.902,44,95,0.667354609,14,105.261,0.365,0.636644091,1
287.124,14,0.906,46,101,0.650061915,14,111.859,0.39,0.716155311,1
283.909,14,0.903,48,105,0.615139797,14,115.93,0.408,0.765214143,1
286.501,10,0.908,48,111,0.643294736,10,121.763,0.425,0.835506495,1
281.37,10,0.9,49,113,0.587560557,10,124.272,0.442,0.865741968,1
283.318,10,0.904,50,118,0.60872021,10,128.674,0.454,0.918789617,1
282.706,10,0.903,51,117,0.602072516,10,128.396,0.454,0.915439493,1
283.692,11,0.901,51,116,0.61278269,11,127.661,0.45,0.90658215,1
284.721,11,0.905,51,114,0.62395994,11,125.752,0.442,0.883577161,1
287.101,12,0.907,49,112,0.649812083,12,122.616,0.427,0.845785833,1
292.046,11,0.914,47,110,0.703525885,11,120.469,0.412,0.819912752,1
291.391,14,0.907,46,104,0.696411114,14,114.128,0.392,0.74349859,1
294.247,12,0.908,45,99,0.727433686,12,109.729,0.373,0.690487094,1
300.043,13,0.913,43,97,0.790391258,13,106.89,0.356,0.656274855,1
300.393,13,0.916,41,93,0.794193044,13,102.634,0.342,0.604986624,1
305.925,12,0.916,39,91,0.854282983,12,100.063,0.327,0.574004001,1
301.642,14,0.912,39,88,0.807759988,14,96.777,0.321,0.534405052,1
302.042,13,0.911,39,85,0.812104886,13,94.388,0.312,0.505615676,1
298.564,13,0.913,37,84,0.774325998,13,92.679,0.31,0.485020848,1
302.298,12,0.914,36,84,0.814885621,12,92.579,0.306,0.483815767,1
298.974,11,0.915,36,85,0.778779518,11,92.807,0.31,0.486563351,1
294.91,10,0.909,37,84,0.734635354,10,92.774,0.315,0.486165674,1
294.719,10,0.909,38,87,0.732560666,10,95.784,0.325,0.522438601,1
295.533,10,0.913,38,91,0.741402533,10,99.127,0.335,0.562724446,1
294.924,10,0.914,40,94,0.734787426,10,102.609,0.348,0.604685353,1
292.042,10,0.911,41,96,0.703482436,10,105.257,0.36,0.636595888,1
288.594,10,0.908,42,99,0.666029415,10,108.223,0.375,0.672338579,1
285.916,10,0.904,43,102,0.636940323,10,111.984,0.392,0.717661662,1
284.905,9,0.907,46,107,0.625958593,9,116.93,0.41,0.777264949,1
285.975,8,0.912,47,112,0.637581195,8,121.54,0.425,0.832819166,1
282.97,8,0.904,49,112,0.604940149,8,123.21,0.435,0.852944012,1
280.659,9,0.897,50,113,0.579837501,9,124.543,0.444,0.869007737,1
280.955,11,0.895,52,114,0.583052725,11,126.43,0.45,0.891747608,1
279.393,13,0.895,55,115,0.566085899,13,128.055,0.458,0.911330168,1
278.68,15,0.892,56,115,0.558341118,15,128.309,0.46,0.914391073,1
280.11,14,0.896,55,117,0.573874128,14,129.551,0.463,0.929358174,1
285.17,19,0.886,58,115,0.628837088,19,129.514,0.454,0.928912294,1
286.219,23,0.89,64,113,0.640231583,23,130.587,0.456,0.941842809,1
