angle_90,r,area_ellipse,area_contour,proportion,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.062,91.207,9205.716,7345.5,0.533,0.877,0.297043555,0.137770062,0.141957716,0
0.01,93.268,9160.924,7603,0.545,0.888,0.306752339,0.137026691,0.147538497,0
0.056,94.813,9456.426,7830.5,0.533,0.881,0.314030394,0.141930862,0.152469089,0
0.058,95.179,9605.321,7821.5,0.517,0.89,0.315754515,0.144401933,0.152274033,0
0.056,94.339,9885.266,7763,0.507,0.886,0.311797515,0.149047919,0.151006166,0
0.07,95.072,9858.483,7880,0.509,0.878,0.315250469,0.148603426,0.153541899,0
0.077,96.107,9638.796,7834,0.52,0.881,0.320126059,0.144957486,0.152544944,0
0.044,94.786,9760.959,7839,0.518,0.886,0.313903204,0.146984911,0.152653309,0
0.04,92.86,9040.137,7480.5,0.543,0.883,0.304830367,0.135022102,0.144883562,0
0.013,91.773,9393.998,7658.5,0.543,0.888,0.29970982,0.140894803,0.148741344,0
0.016,94.507,9317.732,7726.5,0.542,0.884,0.312588915,0.139629087,0.150215104,0
0.024,93.688,9327.305,7854.5,0.544,0.887,0.308730839,0.139787961,0.152989239,0
0.05,95.928,9382.595,7991,0.537,0.874,0.319282841,0.140705558,0.155947595,0
0.04,96.328,9593.176,8009.5,0.532,0.891,0.321167127,0.144200374,0.156348544,0
0.056,96.648,9858.598,8026.5,0.521,0.886,0.322674556,0.148605335,0.156716984,0
0.048,98.121,9922.75,8267,0.519,0.883,0.329613439,0.149670005,0.161929325,0
0.119,101.591,9986.04,8370,0.503,0.892,0.34595962,0.15072037,0.164161637,0
0.043,95.22,9591.691,7961,0.538,0.889,0.315947655,0.144175729,0.155297407,0
0.021,94.157,9112.97,7615.5,0.553,0.891,0.310940164,0.136230844,0.147809408,0
0.016,93.622,8764.241,7452.5,0.562,0.888,0.308419932,0.130443314,0.14427672,0
0.03,94.333,8785.477,7393.5,0.527,0.884,0.31176925,0.130795748,0.142998017,0
0.028,91.375,8665.917,7268.5,0.548,0.882,0.297834955,0.128811523,0.1402889,0
0.043,92.517,8578.783,7251,0.543,0.89,0.303214592,0.127365441,0.139909624,0
0.044,93.559,8383.015,7187.5,0.528,0.882,0.308123157,0.124116463,0.138533393,0
0.064,93.055,8330.945,7048,0.527,0.884,0.305748957,0.123252306,0.135510018,0
0.054,93.028,8315.149,7152,0.538,0.872,0.305621767,0.122990154,0.137764003,0
0.077,92.511,8300.104,7101.5,0.541,0.883,0.303186328,0.122740466,0.13666952,0
0.032,93.187,8809.085,7369,0.535,0.884,0.306370771,0.131187548,0.14246703,0
0.014,95.422,9569.232,7874,0.542,0.897,0.316899219,0.143802998,0.153411862,0
0.038,95.451,9655.891,7912,0.535,0.888,0.31703583,0.145241196,0.154235433,0
0.035,95.265,9572.683,7956.5,0.526,0.889,0.316159637,0.143860271,0.155199879,0
0.053,96.032,9756.289,8025.5,0.521,0.886,0.319772755,0.146907408,0.156695311,0
0.043,96.241,10013.244,8129,0.525,0.893,0.320757295,0.15117185,0.15893846,0
0.058,97.471,10038.831,8147,0.52,0.89,0.326551474,0.151596493,0.159328573,0
0.05,97.223,10042.314,8099,0.52,0.89,0.325383217,0.151654297,0.158288272,0
0.077,98.147,9990.608,8218.5,0.513,0.886,0.329735917,0.150796181,0.160878187,0
0.014,94.991,9698.221,7853,0.537,0.888,0.314868901,0.145943708,0.15295673,0
0.017,93.384,8744.148,7186.5,0.525,0.884,0.307298782,0.13010985,0.13851172,0
0.005,92.147,8496.006,7043.5,0.524,0.886,0.301471627,0.125991669,0.13541249,0
0.019,91.657,8134.93,6909,0.537,0.897,0.299163377,0.119999228,0.132497481,0
0.005,89.975,8164.361,6834,0.541,0.881,0.291239954,0.120487667,0.13087201,0
0.012,88.107,8143.876,6736.5,0.533,0.893,0.282440339,0.120147696,0.128758899,0
0.018,87.725,7952.681,6572.5,0.523,0.89,0.280640846,0.116974612,0.125204538,0
0.015,85.829,7956.755,6395.5,0.529,0.882,0.27170933,0.117042224,0.121368429,0
0.011,85.238,7740.044,6259.5,0.521,0.888,0.268925297,0.113445674,0.11842091,0
0.013,84.498,7592.24,6216,0.535,0.893,0.265439368,0.110992709,0.117478137,0
0.003,81.877,7397.908,6053,0.549,0.881,0.253092584,0.107767563,0.113945449,0
0.003,83.005,7307.126,6062.5,0.546,0.884,0.258406271,0.106260939,0.114151342,0
0.021,80.585,7076.892,5917.5,0.552,0.879,0.247006341,0.10243996,0.111008767,0
0.027,81.509,6989.169,5903,0.554,0.882,0.251359041,0.100984104,0.110694509,0
0.022,82.273,7076.38,5831,0.547,0.882,0.254958028,0.102431463,0.109134058,0
0.045,81.005,6923.964,5824,0.546,0.881,0.248984841,0.099901957,0.108982347,0
0.027,80.157,7181.936,5737,0.538,0.884,0.244990155,0.104183277,0.107096802,0
0.055,82.443,6676.511,5730.5,0.549,0.884,0.255758849,0.095795211,0.106955928,0
0.043,80.784,7288.655,5769.5,0.52,0.872,0.247943773,0.105954393,0.107801173,0
0.064,80.872,6978.838,5713.5,0.525,0.874,0.248358316,0.10081265,0.106587488,0
0.072,81.938,6897.643,5709.5,0.521,0.877,0.253379938,0.099465132,0.106500796,0
0.075,82.652,6889.667,5757.5,0.522,0.87,0.256743389,0.099332762,0.107541097,0
0.069,80.645,7049.443,5769,0.53,0.872,0.247288984,0.101984415,0.107790336,0
0.063,81.86,6752.267,5685.5,0.541,0.874,0.253012502,0.097052462,0.105980646,0
0.052,80.38,6864.179,5616.5,0.538,0.878,0.246040644,0.098909761,0.104485214,0
0.02,78.812,6748.053,5630.5,0.558,0.874,0.238654243,0.096982527,0.104788635,0
0.023,78.937,6375.488,5477.5,0.559,0.873,0.239243082,0.090799414,0.101472676,0
0.013,76.831,6591.175,5557,0.575,0.843,0.229322317,0.094378969,0.103195674,0
0.008,71.714,6116.813,5470,0.597,0.842,0.205217588,0.086506426,0.101310129,0
0.037,72.678,6175.249,5367,0.594,0.852,0.209758717,0.087476234,0.099077817,0
0.02,73.634,6003.286,5274.5,0.579,0.848,0.214262161,0.084622325,0.09707307,0
0.022,75.659,6226.019,5362.5,0.589,0.844,0.223801359,0.088318816,0.098980288,0
0.036,74.096,6399.839,5217,0.568,0.871,0.216438511,0.091203544,0.095826877,0
0.054,75.606,6756.827,5234.5,0.546,0.883,0.223551691,0.097128141,0.096206153,0
0.005,78.286,6353.898,5219,0.544,0.872,0.236176407,0.090441104,0.095870222,0
0.001,78.217,6094.361,5079,0.541,0.879,0.235851368,0.086133811,0.092836012,0
0.007,75.415,6372.759,4979.5,0.542,0.886,0.222651944,0.090754123,0.090679555,0
0.017,76.787,6130.367,5004.5,0.553,0.887,0.229115045,0.086731369,0.091221378,0
0.011,75.776,6489.219,5002,0.533,0.892,0.224352512,0.092686901,0.091167196,0
0.038,75.917,6355.006,4964.5,0.545,0.886,0.225016723,0.090459493,0.090354461,0
0.042,75.632,6325.353,4991.5,0.544,0.894,0.223674169,0.08996737,0.09093963,0
0.057,76.519,6168.733,4852,0.537,0.892,0.227852573,0.087368094,0.087916256,0
0.055,73.673,6171.443,4782,0.545,0.884,0.214445879,0.087413069,0.08639915,0
0.051,72.696,6327.445,4800,0.547,0.886,0.20984351,0.090002089,0.086789263,0
0.093,75.008,5944.687,4686,0.538,0.875,0.220734683,0.083649812,0.084318549,0
0.096,73.061,5990.383,4646.5,0.55,0.876,0.211562921,0.084408186,0.083462468,0
0.084,74.315,5870.793,4565.5,0.532,0.877,0.217470158,0.082423462,0.08170696,0
0.093,71.835,5719.87,4612.5,0.55,0.873,0.205787584,0.079918734,0.082725588,0
0.076,69.703,6112.68,4557,0.539,0.874,0.19574434,0.086437835,0.08152274,0
0.088,73.451,5546.275,4559,0.557,0.873,0.2134001,0.07703774,0.081566086,0
0.047,70.905,5553.909,4375,0.556,0.877,0.201406619,0.077164435,0.077578266,0
0.015,68.077,5468.649,4257,0.536,0.875,0.188084717,0.075749454,0.07502086,0
0.042,69.976,5285.748,4210,0.535,0.877,0.197030365,0.072714017,0.074002232,0
0.057,70.98,5583.945,4229,0.529,0.871,0.201759923,0.077662914,0.074414018,0
0.055,70.962,5601.652,4308,0.534,0.878,0.20167513,0.077956781,0.07612618,0
0.075,72.778,5656.243,4340.5,0.534,0.874,0.210229789,0.078862777,0.07683055,0
0.061,71.321,5851.117,4420.5,0.548,0.891,0.203366277,0.082096918,0.078564385,0
0.054,71.284,5840.068,4423,0.536,0.887,0.20319198,0.081913548,0.078618567,0
0.046,70.691,5898.768,4409.5,0.526,0.89,0.200398526,0.082887737,0.078325983,0
0.064,72.878,5688.833,4461,0.536,0.885,0.21070086,0.079403642,0.079442139,0
0.06,73.625,5541.29,4463,0.532,0.875,0.214219764,0.076955009,0.079485485,0
0.052,71.753,5751.32,4530.5,0.51,0.849,0.205401306,0.080440681,0.080948408,0
0.059,71.899,5670.904,4634.5,0.526,0.834,0.20608907,0.079106091,0.083202393,0
0.079,72.034,5497.463,4590,0.525,0.843,0.206725017,0.076227653,0.082237947,0
0.074,74.327,5385.179,4612,0.53,0.846,0.217526686,0.074364181,0.082714752,0
0.054,71.871,5735.095,4673,0.533,0.864,0.20595717,0.080171409,0.084036801,0
0.064,74.299,5641.763,4774,0.529,0.861,0.217394786,0.078622466,0.086225767,0
0.064,73.479,5862.513,4876,0.529,0.847,0.213532,0.082286047,0.088436406,0
0.043,73.941,5851.601,4884.5,0.533,0.834,0.21570835,0.082104951,0.088620626,0
0.005,74.458,6058.778,5066,0.548,0.87,0.21814379,0.085543274,0.092554264,0
0.007,76.054,6153.239,5078,0.541,0.866,0.225662091,0.087110955,0.092814339,0
0.021,76.994,6506.522,5059,0.531,0.881,0.230090163,0.092974062,0.092402553,0
0.005,76.618,6553.681,5103.5,0.525,0.884,0.228318934,0.093756716,0.093366999,0
0.012,77.391,6699.321,5165,0.523,0.892,0.231960317,0.096173767,0.094699884,0
0.015,98.814,10041.322,8064.5,0.512,0.899,0.332877964,0.151637834,0.157540555,0
0.021,105.86,11481.481,9374,0.517,0.902,0.366069662,0.175538807,0.185921262,0
0.031,106.473,11762.053,9540,0.527,0.907,0.36895733,0.180195198,0.189518969,0
0.027,111.191,12021.137,9896,0.516,0.901,0.391182484,0.184494973,0.197234534,0
0.042,113.606,12815.787,10570.5,0.516,0.901,0.40255886,0.197683037,0.211852927,0
0.049,117.979,13544.657,11005,0.512,0.903,0.423158817,0.209779411,0.221269817,0
0.036,122.288,15145.41,12187,0.516,0.908,0.443457288,0.236345612,0.246887225,0
0.042,125.731,15111.009,12345,0.509,0.904,0.45967628,0.235774691,0.250311548,0
0.041,124.762,14968.656,12424,0.522,0.902,0.455111597,0.233412191,0.25202371,0
0.032,124.147,15310.338,12452,0.516,0.902,0.452214507,0.239082768,0.252630552,0
0.044,124.891,15283.339,12433.5,0.512,0.901,0.455719279,0.238634691,0.252229603,0
0.038,122.902,14902.892,12305.5,0.519,0.907,0.446349667,0.232320768,0.249455468,0
0.032,122.526,14738.608,12222.5,0.517,0.9,0.444578438,0.2295943,0.247656614,0
0.021,121.034,14644.716,12089.5,0.527,0.908,0.437550051,0.228036062,0.244774114,0
0.035,124.043,14287.959,12000,0.518,0.902,0.451724593,0.222115299,0.242834386,0
0.037,122.62,14546.805,11943.5,0.51,0.9,0.445021245,0.226411124,0.241609866,0
0.025,120.223,14420.616,11947.5,0.518,0.902,0.433729661,0.224316884,0.241696557,0
0.039,119.97,14163.983,11804,0.514,0.901,0.432537851,0.220057786,0.238586491,0
0.041,120.214,14169.807,11713,0.517,0.905,0.433687265,0.220154441,0.236614254,0
0.039,118.346,13994.66,11519.5,0.521,0.901,0.424887649,0.21724769,0.232420542,0
0.037,117.307,13506.878,11210.5,0.517,0.9,0.419993217,0.209152428,0.225723605,0
0.045,115.196,12873.846,10859,0.523,0.908,0.410048897,0.198646588,0.218105569,0
0.054,114.044,12206.704,10579,0.525,0.905,0.404622154,0.187574655,0.212037147,0
0.042,112.634,12297.597,10257,0.508,0.899,0.397980045,0.189083121,0.205058463,0
0.022,110.598,12041.16,10022,0.52,0.905,0.38838903,0.184827276,0.199965323,0
0.015,109.832,11994.433,9873,0.517,0.904,0.384780622,0.184051792,0.196736056,0
0.03,108.054,11585.217,9652.5,0.516,0.904,0.376404971,0.177260416,0.191957174,0
0.031,108.683,11414.174,9519.5,0.52,0.905,0.37936801,0.174421776,0.189074674,0
0.026,106.266,11065.308,9259.5,0.525,0.905,0.367982212,0.168631973,0.183439711,0
0.033,104.826,10414.65,9017.5,0.525,0.899,0.361198783,0.15783361,0.178194861,0
0.029,102.598,10769.452,8786,0.523,0.909,0.35070331,0.163721927,0.173177577,0
0.032,102.086,10345.949,8643,0.52,0.903,0.348291424,0.156693444,0.170078348,0
0.029,101.903,10263.137,8457.5,0.517,0.892,0.347429363,0.15531909,0.166058018,0
0.022,101.32,10035.657,8354,0.519,0.895,0.344683016,0.151543817,0.16381487,0
0.024,98.508,9844.578,8142.5,0.517,0.898,0.331436485,0.148372658,0.159231044,0
0.018,100.017,9744.14,8089.5,0.523,0.898,0.338544954,0.146705782,0.158082379,0
0.033,99.752,9324.826,7953.5,0.52,0.896,0.337296615,0.13974682,0.15513486,0
0.011,96.401,9506.006,7838.5,0.521,0.895,0.321511009,0.142753695,0.152642472,0
0.018,97.257,9166.299,7667,0.519,0.902,0.325543381,0.137115895,0.148925564,0
0.178,82.978,7300.72,5796,0.496,0.886,0.258279082,0.106154624,0.108375505,0
0.143,81.113,7324.89,5866,0.512,0.882,0.249493598,0.106555751,0.109892611,0
0.148,83.553,7371.862,5935.5,0.514,0.88,0.260987743,0.107335302,0.11139888,0
0.136,83.234,7581.424,5941,0.505,0.884,0.259485025,0.110813206,0.111518081,0
0.108,84.627,7362.658,5991,0.519,0.883,0.266047051,0.107182551,0.112601727,0
0.111,83.479,7514.416,5949,0.508,0.882,0.26063915,0.109701137,0.111691464,0
0.097,83.235,7366.735,5961.5,0.513,0.889,0.259489735,0.107250214,0.111962376,0
0.091,83.261,7341.177,5974.5,0.514,0.888,0.259612214,0.106826051,0.112244124,0
0.094,84.207,7425.308,5996,0.519,0.884,0.26406855,0.108222295,0.112710092,0
0.066,83.155,7353.863,5961,0.53,0.897,0.259112878,0.107036589,0.111951539,0
0.078,83.77,7364.716,6001.5,0.526,0.887,0.262009968,0.107216706,0.112829293,0
0.079,84.805,7366.58,5965,0.52,0.893,0.266885558,0.107247641,0.112038231,0
0.077,85.077,7316.302,6014,0.531,0.897,0.268166872,0.106413224,0.113100205,0
0.077,85.972,7481.193,6039,0.533,0.889,0.272382962,0.109149766,0.113642028,0
0.081,84.214,7022.296,5938.5,0.539,0.888,0.264101525,0.101533881,0.111463898,0
0.021,72.544,5529.014,4558.5,0.548,0.882,0.209127481,0.076751276,0.08155525,0
0.059,67.11,4921.59,3817,0.535,0.887,0.183529456,0.066670427,0.065484769,0
0.088,66.633,4849.351,3787,0.531,0.875,0.181282445,0.065471544,0.064834581,0
0.101,65.21,4835.768,3777,0.543,0.875,0.174579098,0.06524612,0.064617852,0
0.102,66.34,4929.795,3734.5,0.515,0.882,0.179902206,0.066806598,0.063696752,0
0.176,68.159,4564.697,3333.5,0.472,0.879,0.188470996,0.060747408,0.055005906,0
0.147,65.576,4827.073,3769,0.529,0.865,0.176303219,0.065101817,0.064444469,0
0.156,66.539,4769.559,3732.5,0.508,0.861,0.180839638,0.064147311,0.063653406,0
0.158,65.638,4744.68,3740,0.525,0.869,0.176595284,0.063734417,0.063815953,0
0.166,65.987,4662.256,3638,0.516,0.865,0.178239323,0.062366503,0.061605314,0
0.05,63.86,4368.655,3525,0.543,0.864,0.168219632,0.057493882,0.059156273,0
0.062,61.995,4325.694,3303,0.518,0.873,0.159434149,0.056780898,0.054344881,0
0.09,57.878,4030.703,3286,0.544,0.832,0.140040135,0.051885208,0.053976442,0
0.093,63.521,4500.507,3436.5,0.516,0.873,0.1666227,0.059682106,0.057238218,0
0.148,53.156,3928.515,3316.5,0.588,0.783,0.117796139,0.05018929,0.054637466,0
0.147,65.888,4449.199,3496.5,0.496,0.864,0.177772962,0.058830595,0.058538594,0
0.139,65.344,4551.497,3599,0.502,0.863,0.175210333,0.06052834,0.06076007,0
0.157,67.463,4566.402,3645.5,0.492,0.857,0.185192338,0.060775704,0.061767861,0
0.141,67.235,4642.426,3687.5,0.498,0.867,0.184118295,0.062037403,0.062678124,0
0.183,68.134,4898.16,3871.5,0.494,0.851,0.188353228,0.066281582,0.066665944,0
0.17,69.467,5062.243,3969.5,0.498,0.874,0.194632611,0.069004714,0.068789892,0
0.202,71.637,5024.636,3999,0.49,0.868,0.204854863,0.068380585,0.069429243,0
0.2,68.82,5001.62,3997,0.498,0.866,0.191584779,0.06799861,0.069385897,0
0.199,70.019,5121.462,4053,0.487,0.865,0.197232926,0.069987516,0.070599582,0
0.199,71.088,5114.985,4057.5,0.483,0.869,0.20226868,0.069880023,0.07069711,0
0.202,69.313,5235.245,4053,0.482,0.87,0.193907161,0.071875866,0.070599582,0
0.208,69.686,5320.014,4051.5,0.478,0.866,0.195664258,0.073282698,0.070567072,0
0.196,68.361,5282.306,4006.5,0.491,0.872,0.189422561,0.072656894,0.06959179,0
0.221,69.172,5315.169,4057,0.49,0.875,0.19324295,0.07320229,0.070686273,0
0.225,69.389,5294.74,4122.5,0.495,0.87,0.194265176,0.072863249,0.072105851,0
0.237,70.566,5238.728,4107.5,0.481,0.884,0.199809687,0.07193367,0.071780757,0
