angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.354,108.225,10447.178,7695.500,0.086,0.859,,,,0
0.181,99.761,10794.592,8577.000,0.095,0.850,,,,0
0.145,97.805,11175.259,8677.000,0.096,0.858,,,,0
0.074,95.913,10449.744,7474.000,0.083,0.872,,,,0
0.035,94.018,11001.483,8508.000,0.095,0.871,,,,0
0.005,95.874,10813.085,8576.000,0.095,0.876,,,,0
0.078,96.492,10040.461,7240.500,0.080,0.872,,,,0
0.058,96.684,10654.016,8426.500,0.094,0.876,,,,0
0.010,95.007,10737.769,8424.500,0.094,0.878,,,,0
0.017,93.869,11041.105,8390.000,0.093,0.869,,,,0
0.079,93.658,11246.585,8581.500,0.095,0.872,,,,0
0.109,97.700,11187.174,8823.500,0.098,0.865,,,,0
0.174,101.176,11698.675,9013.000,0.100,0.861,,,,0
0.180,104.585,11385.891,7927.500,0.088,0.870,,,,0
0.224,105.980,11062.900,7917.500,0.088,0.875,,,,0
0.256,110.059,11018.087,8044.500,0.089,0.866,,,,0
0.277,110.697,11015.864,8069.500,0.090,0.868,,,,0
0.333,112.565,10956.029,8307.000,0.092,0.877,,,,0
0.349,113.312,10908.564,8216.000,0.091,0.861,,,,0
0.374,111.766,10994.625,8145.500,0.091,0.860,,,,0
0.395,110.997,10858.958,8100.000,0.090,0.863,,,,0
0.374,111.322,10668.398,8132.000,0.090,0.873,,,,0
0.338,112.336,10826.509,8155.000,0.091,0.866,,,,0
0.306,111.847,10784.792,8091.000,0.090,0.865,,,,0
0.287,111.070,10826.014,8184.000,0.091,0.874,,,,0
0.239,110.419,10337.108,8044.000,0.089,0.889,,,,0
0.234,107.595,11551.443,9450.500,0.105,0.856,,,,0
0.192,104.740,11881.446,9555.500,0.106,0.866,,,,0
0.148,103.991,12023.782,9903.500,0.110,0.863,,,,0
0.124,101.627,12225.736,9869.500,0.110,0.866,,,,0
0.087,101.467,12783.014,10166.000,0.113,0.869,,,,0
0.083,102.341,12550.205,10058.500,0.112,0.870,,,,0
0.059,103.367,12734.661,10264.500,0.114,0.877,,,,0
0.069,103.986,12981.992,10395.500,0.116,0.876,,,,0
0.085,104.726,12947.502,10421.000,0.116,0.859,,,,0
0.104,105.774,13225.825,10566.500,0.117,0.873,,,,0
0.101,104.822,13298.576,10662.000,0.118,0.875,,,,0
0.110,107.401,13482.842,10817.500,0.120,0.871,,,,0
0.115,108.657,13440.679,11015.000,0.122,0.864,,,,0
0.129,108.748,13355.356,10829.000,0.120,0.861,,,,0
0.118,109.604,13379.004,9567.500,0.106,0.875,,,,0
0.141,112.436,13450.835,9733.000,0.108,0.869,,,,0
0.146,115.271,13915.004,9911.000,0.110,0.870,,,,0
0.146,114.668,13838.283,10132.500,0.113,0.881,,,,0
0.159,117.048,14553.207,11770.500,0.131,0.863,,,,0
0.169,119.164,15221.066,12118.000,0.135,0.874,,,,0
0.171,121.099,15881.311,12382.000,0.138,0.869,,,,0
0.178,122.365,15811.242,12480.500,0.139,0.867,,,,0
0.175,122.276,15229.152,10979.000,0.122,0.880,,,,0
0.198,126.270,16406.295,12906.500,0.143,0.869,,,,0
0.221,129.412,16948.962,13624.500,0.151,0.860,,,,0
0.211,132.440,17207.844,13856.000,0.154,0.865,,,,0
0.217,132.411,17314.590,14296.000,0.159,0.865,,,,0
0.215,134.289,18142.786,14661.500,0.163,0.872,,,,0
0.218,136.346,18123.149,14916.500,0.166,0.864,,,,0
0.218,138.756,18324.211,15118.500,0.168,0.866,,,,0
0.210,140.504,18372.232,15414.500,0.171,0.865,,,,0
0.219,136.701,18701.615,15143.500,0.168,0.862,,,,0
0.229,137.020,18086.339,14787.000,0.164,0.865,,,,0
0.236,134.788,17021.951,13908.500,0.155,0.861,,,,0
0.254,133.034,16858.981,13476.500,0.150,0.863,,,,0
0.245,132.959,16161.799,13281.500,0.148,0.859,,,,0
0.302,128.716,15686.954,12777.000,0.142,0.864,,,,0
0.285,129.026,15055.306,12587.500,0.140,0.873,,,,0
0.318,129.086,14525.943,12304.500,0.137,0.868,,,,0
0.338,125.904,14447.606,12076.500,0.134,0.867,,,,0
0.352,126.030,14099.717,11738.500,0.130,0.862,,,,0
0.337,123.123,13083.103,10193.000,0.113,0.867,,,,0
0.391,122.150,13360.603,11337.500,0.126,0.869,,,,0
0.405,120.859,13198.634,11103.500,0.123,0.870,,,,0
0.378,119.209,12904.639,10881.500,0.121,0.868,,,,0
0.393,119.893,12820.207,10652.000,0.118,0.868,,,,0
0.350,119.269,12696.266,10467.500,0.116,0.873,,,,0
0.307,119.426,11991.046,9271.000,0.103,0.868,,,,0
0.295,116.604,12523.081,10431.000,0.116,0.873,,,,0
0.252,111.994,11455.043,9021.000,0.100,0.880,,,,0
0.234,111.312,12155.998,10083.000,0.112,0.855,,,,0
0.189,106.425,12328.596,9936.000,0.110,0.852,,,,0
0.136,101.720,12397.421,10046.000,0.112,0.853,,,,0
0.065,99.982,12688.977,10154.000,0.113,0.844,,,,0
0.025,103.052,12507.037,10238.000,0.114,0.848,,,,0
0.037,102.809,12461.752,10258.000,0.114,0.852,,,,0
0.114,107.655,11811.107,9273.000,0.103,0.844,,,,0
0.116,103.676,12379.726,10223.000,0.114,0.845,,,,0
0.139,101.884,12447.109,10140.500,0.113,0.854,,,,0
0.107,102.826,12290.320,10133.500,0.113,0.856,,,,0
0.087,102.731,12249.982,10227.500,0.114,0.853,,,,0
0.052,103.037,12855.896,10463.000,0.116,0.860,,,,0
0.053,104.255,12911.416,10661.500,0.118,0.847,,,,0
0.033,106.907,13462.440,11118.500,0.124,0.852,,,,0
0.016,108.824,14450.555,11549.500,0.128,0.851,,,,0
0.019,111.442,14572.320,11901.000,0.132,0.849,,,,0
0.011,113.388,15094.154,12359.500,0.137,0.863,,,,0
0.003,112.941,15658.323,12434.000,0.138,0.859,,,,0
0.004,114.229,14945.984,12234.000,0.136,0.864,,,,0
0.011,110.042,14594.222,11681.500,0.130,0.866,,,,0
0.037,108.269,14210.920,11387.500,0.127,0.855,,,,0
0.013,109.826,13267.617,9626.000,0.107,0.861,,,,0
0.032,106.068,13562.924,10744.500,0.119,0.862,,,,0
0.039,106.425,13291.465,10606.500,0.118,0.869,,,,0
0.027,106.735,12869.186,10490.500,0.117,0.858,,,,0
0.045,106.421,13061.206,10637.000,0.118,0.853,,,,0
0.047,104.666,13349.215,10741.000,0.119,0.856,,,,0
0.049,106.005,13453.922,10645.000,0.118,0.861,,,,0
0.078,108.341,14061.772,10950.000,0.122,0.862,,,,0
0.076,109.221,14785.247,11622.500,0.129,0.863,,,,0
0.075,113.205,14573.317,11870.000,0.132,0.838,,,,0
0.075,111.476,15179.766,11978.000,0.133,0.855,,,,0
0.072,115.228,14946.209,12346.500,0.137,0.836,,,,0
0.076,114.712,15347.255,12574.000,0.140,0.840,,,,0
0.097,116.279,15673.176,12767.000,0.142,0.844,,,,0
