angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,norm_scale,label
0.98,72.846,6462.764,4754,0.053,0.926,0.331663903,0.148915831,0.158400119,0.160714286,a
0.584,39.494,2615.821,2438,0.027,0.71,0.045151924,0.025773705,0.043470709,0.044642857,a
0.572,39.416,2636.993,2433.5,0.027,0.709,0.044481861,0.026451429,0.043247401,0.044642857,a
0.981,73.342,6586.438,4840.5,0.054,0.924,0.335924816,0.152874683,0.162692604,0.165178571,a
0.978,71.779,6753.207,4850.5,0.054,0.926,0.322497788,0.158213023,0.163188845,0.165178571,a
0.981,73.941,6643.09,4868,0.054,0.927,0.341070554,0.154688135,0.164057266,0.165178571,a
0.548,39.541,2637.401,2416.5,0.027,0.706,0.04555568,0.02646449,0.042403791,0.044642857,a
0.572,39.043,2608.229,2397,0.027,0.692,0.041277586,0.025530683,0.041436121,0.044642857,a
0.567,38.818,2512.326,2372,0.026,0.668,0.039344713,0.022460791,0.040195519,0.040178571,a
0.998,72.131,6431.232,4792,0.053,0.926,0.325521661,0.147906479,0.160285835,0.160714286,a
0.999,72.548,6638.209,4807,0.053,0.931,0.32910392,0.154531893,0.161030196,0.160714286,a
0.994,71.595,6347.172,4781.5,0.053,0.923,0.320917127,0.145215686,0.159764782,0.160714286,a
0.99,71.148,6362.111,4706.5,0.052,0.925,0.317077152,0.145693889,0.156042974,0.15625,a
0.999,68.035,6154.097,4645.5,0.052,0.92,0.290334774,0.139035281,0.153015905,0.15625,a
0.994,67.994,6107.498,4615.5,0.051,0.914,0.289982561,0.137543629,0.151527182,0.151785714,a
0.99,70.594,6144.549,4698,0.052,0.915,0.312317988,0.138729646,0.15562117,0.15625,a
0.989,70.55,6437.073,4714.5,0.052,0.916,0.311940004,0.148093452,0.156439967,0.15625,a
0.993,69.03,6379.232,4736.5,0.053,0.926,0.29888237,0.146241939,0.157531697,0.160714286,a
0.543,40.057,2686.264,2404.5,0.027,0.742,0.049988403,0.028028613,0.041808302,0.044642857,a
0.965,69.074,6637.955,4730,0.053,0.931,0.299260354,0.154523762,0.157209141,0.160714286,a
0.969,71.773,6243.679,4697,0.052,0.92,0.322446245,0.141902836,0.155571546,0.15625,a
0.973,70.072,5974.474,4651.5,0.052,0.916,0.307833721,0.13328548,0.153313649,0.15625,a
0.993,69.529,6112.351,4626,0.051,0.919,0.303169053,0.137698976,0.152048235,0.151785714,a
0.999,69.871,5983.483,4629.5,0.051,0.918,0.306107021,0.133573861,0.152221919,0.151785714,a
0.993,68.345,6125.169,4622.5,0.051,0.923,0.292997844,0.138109285,0.15187455,0.151785714,a
0.986,67.713,6026.678,4629,0.051,0.91,0.287568617,0.13495655,0.152197107,0.151785714,a
0.995,69.63,6081.724,4617.5,0.051,0.917,0.304036699,0.136718594,0.15162643,0.151785714,a
0.994,68.283,6226.054,4627,0.051,0.919,0.29246523,0.141338653,0.152097859,0.151785714,a
0.538,38.934,2658.343,2380.5,0.026,0.753,0.040341217,0.027134851,0.040617324,0.040178571,a
0.535,40.209,2626.921,2413,0.027,0.757,0.051294166,0.026129021,0.042230107,0.044642857,a
0.483,39.803,2549.087,2373,0.026,0.727,0.047806403,0.023637524,0.040245143,0.040178571,a
0.975,71.377,6012.975,4690.5,0.052,0.917,0.319044387,0.134517912,0.155248989,0.15625,a
0.98,68.827,6048.652,4656,0.052,0.913,0.297138488,0.135659946,0.153536958,0.15625,a
0.996,69.334,6129.428,4677.5,0.052,0.917,0.301493896,0.138245617,0.154603876,0.15625,a
0.997,67.627,6236.89,4690.5,0.052,0.915,0.28682983,0.141685517,0.155248989,0.15625,a
0.993,68.823,6112.635,4870.5,0.054,0.908,0.297104126,0.137708067,0.164181326,0.165178571,a
0.964,69.986,6192.659,5013,0.056,0.897,0.307094934,0.140269666,0.17125276,0.174107143,a
0.958,69.492,6183.764,5018.5,0.056,0.898,0.302851203,0.139984933,0.171525693,0.174107143,a
0.946,70.14,6511.908,5174.5,0.057,0.893,0.308417879,0.150488949,0.179267052,0.178571429,a
0.951,71.075,6678.064,5353.5,0.059,0.904,0.316450042,0.155807666,0.188149766,0.1875,a
0.962,73.389,6978.006,5416.5,0.06,0.91,0.336328571,0.165408925,0.191276084,0.191964286,a
0.966,73.741,6998.28,5529.5,0.061,0.907,0.339352444,0.166057904,0.196883607,0.196428571,a
0.973,72.418,6970.812,5492,0.061,0.9,0.327987149,0.165178643,0.195022703,0.196428571,a
0.981,73.685,6934.872,5309.5,0.059,0.911,0.338871374,0.164028189,0.185966305,0.1875,a
0.978,71.868,6805.18,5226.5,0.058,0.917,0.323262347,0.159876699,0.181847505,0.183035714,a
0.988,70.427,6854.594,5181,0.058,0.915,0.310883366,0.16145846,0.179589609,0.183035714,a
0.991,69.776,6644.969,5102.5,0.057,0.916,0.305290919,0.154748283,0.175694117,0.178571429,a
0.953,71.46,6656.846,5355,0.059,0.902,0.319757403,0.15512847,0.188224202,0.1875,a
0.943,69.572,6567.76,5354.5,0.059,0.895,0.303538447,0.152276793,0.18819939,0.1875,a
0.946,69.762,6425.417,5313.5,0.059,0.89,0.305170651,0.147720339,0.186164802,0.1875,a
0.945,69.931,6540.973,5304,0.059,0.891,0.306622454,0.151419331,0.185693373,0.1875,a
0.945,68.268,6609.489,5350,0.059,0.897,0.292336372,0.153612554,0.187976081,0.1875,a
0.964,74.945,6648.741,4993.5,0.055,0.923,0.349695465,0.154869026,0.17028509,0.169642857,a
0.976,74.528,6406.706,5044,0.056,0.923,0.346113206,0.147121393,0.172791107,0.174107143,a
0.982,74.567,6678.416,4996,0.056,0.928,0.346448238,0.155818934,0.170409151,0.174107143,a
0.993,75.642,6649.576,5025.5,0.056,0.925,0.355683077,0.154895755,0.171873062,0.174107143,a
0.994,75.328,6901.57,5070.5,0.056,0.924,0.352985645,0.16296218,0.174106146,0.174107143,a
0.997,74.736,6834.57,5114.5,0.057,0.925,0.34790004,0.160817484,0.176289606,0.178571429,a
0.993,77.187,6817.716,5108,0.057,0.916,0.368955475,0.160277981,0.17596705,0.178571429,a
0.997,75.551,6976.474,5060,0.056,0.935,0.354901338,0.165359885,0.173585093,0.174107143,a
0.998,76.726,6785.097,5078,0.056,0.928,0.364995232,0.159233834,0.174478327,0.174107143,a
0.999,79.129,6929.726,5011,0.056,0.928,0.385638321,0.163863464,0.171153512,0.174107143,a
0.536,45.576,2776.048,2578,0.029,0.561,0.097399641,0.030902633,0.050418083,0.053571429,a
0.549,45.299,2771.898,2563.5,0.028,0.551,0.095020059,0.03076979,0.049698534,0.049107143,a
0.577,45.894,2696.344,2532,0.028,0.553,0.100131435,0.028351278,0.048135375,0.049107143,a
0.996,77.929,6946.094,5026.5,0.056,0.931,0.375329662,0.16438741,0.171922686,0.174107143,a
0.587,44.906,2703.414,2504.5,0.028,0.555,0.091643973,0.028577591,0.046770712,0.049107143,a
0.607,44.517,2760.92,2527,0.028,0.559,0.08830225,0.03041838,0.047887254,0.049107143,a
0.597,45.348,2795.222,2555,0.028,0.596,0.095440996,0.0315164,0.049276729,0.049107143,a
0.605,45.388,2710.122,2537,0.028,0.533,0.095784618,0.028792317,0.048383495,0.049107143,a
0.589,45.243,2730.187,2508,0.028,0.575,0.094538988,0.029434605,0.046944396,0.049107143,a
0.987,75.851,6718.891,4915.5,0.055,0.926,0.357478502,0.157114554,0.166414411,0.169642857,a
0.987,74.547,6505.127,4927,0.055,0.922,0.346276427,0.150271887,0.166985088,0.169642857,a
0.992,72.941,6589.02,4931,0.055,0.916,0.332480005,0.152957334,0.167183584,0.169642857,a
0.993,73.639,6639.74,4908.5,0.055,0.931,0.338476208,0.154580901,0.166067042,0.169642857,a
0.632,45.254,2721.919,2484.5,0.028,0.567,0.094633484,0.029169943,0.04577823,0.049107143,a
0.577,44.451,2701.003,2516.5,0.028,0.58,0.087735274,0.028500414,0.047366201,0.049107143,a
0.546,44.187,2655.581,2492.5,0.028,0.509,0.085467369,0.027046438,0.046175223,0.049107143,a
0.528,43.201,2562.611,2472.5,0.027,0.493,0.076997088,0.024070433,0.045182741,0.044642857,a
0.487,42.86,2643.459,2477,0.028,0.513,0.074067711,0.026658408,0.045406049,0.049107143,a
0.479,42.056,2541.778,2454.5,0.027,0.428,0.06716091,0.02340356,0.044289507,0.044642857,a
0.486,41.337,2532.437,2425.5,0.027,0.528,0.060984305,0.023104551,0.042850408,0.044642857,a
0.467,41.305,2505.985,2412,0.027,0.492,0.060709408,0.022257813,0.042180483,0.044642857,a
0.491,41.277,2431.401,2371,0.026,0.435,0.060468872,0.01987035,0.040145895,0.040178571,a
