angle,eccentricity,cx,cy,r,label
171,0.852,53,92,106.1743849,1
159,0.887,50,88,101.2126474,1
158,0.882,54,89,104.1009126,1
158,0.89,55,71,89.81091248,1
157,0.895,55,68,87.45856162,1
159,0.902,51,66,83.40863265,1
157,0.874,59,64,87.04596487,1
157,0.864,56,86,102.6255329,1
159,0.88,52,68,85.60373824,1
161,0.867,55,81,97.90812019,1
169,0.896,52,87,101.3558089,1
173,0.873,49,83,96.38464608,1
179,0.892,56,92,107.7032961,1
4,0.891,51,84,98.27003612,1
7,0.877,51,87,100.8464179,1
9,0.88,56,99,113.7409337,1
12,0.875,60,80,100,1
12,0.877,60,94,111.5168149,1
12,0.879,61,87,106.2544117,1
12,0.884,57,91,107.3778376,1
12,0.875,57,98,113.3710721,1
14,0.868,62,80,101.2126474,1
15,0.869,61,89,107.8981001,1
17,0.875,63,89,109.0412766,1
9,0.885,58,89,106.2308806,1
3,0.884,60,91,109,1
176,0.886,51,83,97.41663102,1
173,0.897,53,87,101.8724693,1
169,0.902,53,81,96.79876032,1
167,0.9,53,86,101.0198,1
164,0.877,49,93,105.1189802,1
164,0.913,53,74,91.02197537,1
163,0.895,56,81,98.47334665,1
163,0.91,50,78,92.64987858,1
161,0.875,51,67,84.20213774,1
163,0.899,56,74,92.80086206,1
162,0.876,57,67,87.96590248,1
164,0.894,60,72,93.72299611,1
171,0.907,55,80,97.08243919,1
175,0.907,53,88,102.7277957,1
2,0.89,53,91,105.3090689,1
3,0.897,51,91,104.3168251,1
6,0.886,55,91,106.329676,1
9,0.885,54,87,102.396289,1
8,0.886,56,83,100.124922,1
9,0.886,59,90,107.6150547,1
2,0.895,54,87,102.396289,1
173,0.883,57,74,93.40770846,1
169,0.882,47,78,91.0659102,1
171,0.902,51,73,89.05054744,1
170,0.883,50,77,91.80958556,1
170,0.903,54,70,88.40814442,1
170,0.914,57,73,92.61749295,1
171,0.922,58,74,94.02127419,1
10,0.882,59,79,98.60020284,1
163,0.859,55,66,85.91274643,1
164,0.859,52,73,89.62700486,1
174,0.886,56,73,92.00543462,1
178,0.875,50,76,90.97252332,1
2,0.872,57,71,91.04943712,1
0,0.892,52,80,95.41488354,1
176,0.877,55,73,91.40021882,1
