r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
36.913,4,0.904,49,103,,4,114.862,3.112,,1
37.257,3,0.909,50,107,,3,119.104,3.197,,1
38.823,2,0.904,51,109,,2,120.887,3.114,,1
40.65,2,0.9,52,112,,2,124.327,3.058,,1
40.852,0,0.897,52,111,,0,123.089,3.013,,1
43.289,179,0.889,54,113,,0,125.852,2.907,,1
42.166,176,0.897,52,115,,3,127.326,3.02,,1
46.651,174,0.877,52,117,,5,129.291,2.771,,1
43.965,175,0.895,52,120,,4,131.353,2.988,,1
45.799,175,0.887,53,120,,4,132.06,2.883,,1
42.759,173,0.895,51,116,,6,127.539,2.983,,1
42.639,174,0.89,51,113,,5,124.856,2.928,,1
41.692,174,0.896,51,114,,5,125.277,3.005,,1
40.593,176,0.897,50,111,,3,122.444,3.016,,1
40.487,178,0.896,50,110,,1,121.625,3.004,,1
38.919,0,0.898,48,107,,0,117.808,3.027,,1
38.238,1,0.898,48,105,,1,115.651,3.025,,1
36.228,2,0.908,47,104,,2,115.099,3.177,,1
36.489,3,0.904,48,103,,3,113.942,3.123,,1
34.901,4,0.909,46,101,,4,111.55,3.196,,1
34.869,6,0.907,46,99,,6,110.152,3.159,,1
33.16,6,0.912,46,97,,6,107.658,3.247,,1
33.003,6,0.912,46,96,,6,107.115,3.246,,1
32.86,7,0.91,46,94,,7,105.679,3.216,,1
33.068,8,0.91,46,95,,8,106.518,3.221,,1
32.777,7,0.913,46,96,,7,107.397,3.277,,1
33.43,7,0.911,46,97,,7,108.056,3.232,,1
34.453,7,0.909,48,99,,7,110.107,3.196,,1
35.053,7,0.909,48,100,,7,111.928,3.193,,1
35.67,5,0.907,49,101,,5,112.903,3.165,,1
36.669,6,0.906,50,104,,6,115.533,3.151,,1
38.197,6,0.903,51,107,,6,118.704,3.108,,1
38.395,3,0.905,51,108,,3,120.13,3.129,,1
39.456,3,0.901,51,110,,3,121.554,3.081,,1
39.852,1,0.904,53,112,,1,124.524,3.125,,1
40.706,0,0.903,53,114,,0,126.202,3.1,,1
40.187,178,0.907,53,115,,1,127.077,3.162,,1
40.336,177,0.906,53,115,,2,127.147,3.152,,1
40.17,178,0.907,52,115,,1,126.935,3.16,,1
39.49,177,0.908,52,114,,2,125.961,3.19,,1
40.259,178,0.904,51,114,,1,125.808,3.125,,1
39.312,178,0.908,52,113,,1,124.885,3.177,,1
39.412,179,0.907,51,113,,0,124.73,3.165,,1
39.312,1,0.903,50,111,,1,122.039,3.104,,1
37.532,179,0.907,49,108,,0,118.981,3.17,,1
37.07,0,0.906,48,106,,0,116.798,3.151,,1
36.751,0,0.904,47,104,,0,114.702,3.121,,1
35.173,2,0.91,46,102,,2,113.065,3.215,,1
34.837,2,0.908,46,100,,2,110.747,3.179,,1
33.246,2,0.914,45,99,,2,109.099,3.282,,1
34.646,5,0.909,46,100,,5,110.923,3.202,,1
34.185,6,0.907,45,97,,6,108.033,3.16,,1
34.091,6,0.906,46,96,,6,107.29,3.147,,1
33.107,7,0.908,45,94,,7,105.199,3.178,,1
33.022,7,0.907,45,94,,7,104.663,3.17,,1
32.029,8,0.912,45,93,,8,103.939,3.245,,1
31.337,9,0.913,44,91,,9,102.237,3.263,,1
30.579,8,0.911,43,88,,8,98.994,3.237,,1
30.524,9,0.914,43,90,,9,100.047,3.278,,1
30.766,7,0.908,42,88,,7,98.066,3.187,,1
30.407,7,0.909,41,87,,7,97.063,3.192,,1
31.036,6,0.905,42,87,,6,97.242,3.133,,1
30.987,4,0.903,41,87,,4,96.251,3.106,,1
31.157,3,0.905,40,88,,3,97.802,3.139,,1
31.968,2,0.903,43,89,,2,99.215,3.104,,1
