angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.223,107.817,14355.813,11104.5,0.036,0.889,0.217394887,0.0563526,0.048258824,0
0.12,93.692,13983.118,10783,0.035,0.884,0.134263619,0.051362978,0.042818708,0
0.1,90.132,14153.361,10807.5,0.035,0.878,0.113311597,0.053642182,0.043233274,0
0.077,87.754,13830.948,10754,0.035,0.878,0.099316117,0.049325733,0.042327998,0
0.048,87.377,13811.15,10782.5,0.035,0.876,0.097097321,0.049060679,0.042810247,0
0.022,85.964,13592.068,10763.5,0.035,0.88,0.088781251,0.04612762,0.042488748,0
0.011,86.719,13517.526,10694,0.035,0.871,0.093224728,0.045129655,0.041312735,0
0.009,86.233,14012.599,10703.5,0.035,0.88,0.090364424,0.051757668,0.041473485,0
0.031,82.426,14348.259,10680.5,0.035,0.891,0.067958708,0.056251467,0.041084301,0
0.039,87.119,13807.741,10802.5,0.035,0.88,0.095578888,0.049015039,0.043148668,0
0.061,87.336,13870.488,10857.5,0.035,0.876,0.09685602,0.049855093,0.044079326,0
0.086,89.498,14105.184,11012,0.036,0.887,0.109580253,0.052997191,0.046693628,0
0.113,94.866,14868.157,11354.5,0.037,0.879,0.141173078,0.063211836,0.052489086,0
0.132,98.528,15041.824,11536,0.038,0.88,0.162725411,0.065536881,0.055560256,0
0.15,101.608,15106.326,11616,0.038,0.88,0.180852441,0.06640043,0.05691394,0
0.177,105.94,15327.403,11772.5,0.038,0.884,0.206347992,0.069360198,0.059562083,0
0.183,107.163,15574.939,11805.5,0.038,0.9,0.213545835,0.072674198,0.060120478,0
0.206,111.46,15233.779,11918.5,0.039,0.888,0.238835397,0.068106765,0.062032556,0
0.226,113.026,15325.734,12046,0.039,0.881,0.248051933,0.069337854,0.06418999,0
0.242,112.902,15378.623,11847.5,0.039,0.898,0.247322143,0.070045929,0.060831162,0
0.249,112.906,15135.791,11805,0.038,0.899,0.247345685,0.066794906,0.060112017,0
0.24,112.271,14933.318,11884.5,0.039,0.894,0.243608456,0.064084208,0.061457241,0
0.222,110.593,14911.837,11815.5,0.038,0.893,0.233732756,0.063796621,0.060289688,0
0.206,109.136,14843.277,11757.5,0.038,0.881,0.225157729,0.062878743,0.059308268,0
0.195,108.054,15029.852,11780.5,0.038,0.889,0.218789726,0.0653766,0.059697452,0
0.172,105.451,14866.449,11661,0.038,0.895,0.203470032,0.063188969,0.057675387,0
0.145,101.568,14912.318,11797.5,0.038,0.881,0.180617025,0.063803061,0.059985109,0
0.123,99.386,14885.552,11771,0.038,0.892,0.167775084,0.063444719,0.059536702,0
0.1,99.156,15030.342,12097,0.039,0.87,0.166421442,0.06538316,0.065052963,0
0.084,97.936,14928.487,12198,0.04,0.876,0.159241254,0.064019531,0.066761989,0
0.061,97.791,15479.804,12593,0.041,0.869,0.158387871,0.071400535,0.073445802,0
0.063,94.493,15744.901,12460.5,0.041,0.882,0.138977824,0.074949641,0.071203763,0
0.055,97.115,15580.128,12621.5,0.041,0.88,0.154409341,0.072743668,0.073928052,0
0.063,101.688,16631.947,13263,0.043,0.842,0.181323273,0.086825368,0.084782903,0
0.077,103.948,16631.261,13400,0.044,0.857,0.194624276,0.086816184,0.087101086,0
0.082,105.108,16983.373,13588.5,0.044,0.865,0.20145134,0.091530242,0.090290704,0
0.083,103.592,17175.909,13562,0.044,0.876,0.192529074,0.094107904,0.089842296,0
0.093,107.1,17338.553,14008,0.046,0.865,0.213175055,0.096285374,0.097389083,0
0.101,107.852,18013.916,14137.5,0.046,0.866,0.217600876,0.1053271,0.099580358,0
0.092,101.664,17248.806,13502,0.044,0.872,0.181182024,0.095083846,0.088827033,0
0.095,102.085,17678.424,13663.5,0.044,0.878,0.183659777,0.10083555,0.091559782,0
0.105,102.706,18470.481,14043.5,0.046,0.894,0.18731461,0.11143957,0.09798978,0
0.108,105.881,18477.154,14213,0.046,0.894,0.206000753,0.111528907,0.100857897,0
0.112,108.548,18858.682,14634,0.048,0.894,0.221697114,0.116636785,0.107981658,0
0.111,109.467,19143.051,14836.5,0.048,0.88,0.227105796,0.120443903,0.111408169,0
0.119,111.267,19606.71,15264,0.05,0.888,0.237699515,0.126651347,0.118641917,0
0.117,112.428,19985.354,15614.5,0.051,0.891,0.244532464,0.131720614,0.124572744,0
0.121,114.687,20410.656,15944,0.052,0.883,0.257827581,0.137414536,0.130148228,0
0.131,116.309,20591.932,16038,0.052,0.884,0.267373699,0.13984145,0.131738807,0
0.138,118.804,21114.473,16493.5,0.054,0.883,0.282057771,0.146837203,0.139446343,0
0.144,122.51,21670.516,17086,0.056,0.879,0.303869062,0.154281478,0.149472063,0
0.142,123.33,22579.035,17387,0.057,0.886,0.308695089,0.166444686,0.154565298,0
