angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.466,106.392,17771.222,14077.5,0.225,0.866,0.720148404,0.809363439,0.92929444,a
0.473,106.56,17963.662,14037,0.225,0.866,0.722882156,0.822055255,0.925255547,a
0.473,106.705,18047.299,14095.5,0.226,0.869,0.725241644,0.827571288,0.931089504,a
0.472,105.953,17650.107,14165,0.227,0.881,0.713004849,0.801375655,0.938020444,a
0.47,105.527,17967.043,14096,0.226,0.872,0.706072835,0.822278239,0.931139367,a
0.472,106.668,17785.775,14128,0.226,0.876,0.724639568,0.81032324,0.934330591,a
0.469,106.703,17553.293,14081.5,0.225,0.88,0.725209099,0.794990571,0.929693343,a
0.468,104.894,17468.951,14022,0.224,0.883,0.695772448,0.789428042,0.923759661,a
0.47,108.794,18162.757,14132,0.226,0.86,0.759234549,0.835185982,0.934729494,a
0.47,106.685,17986.95,14092,0.225,0.867,0.724916197,0.823591147,0.930740464,a
0.47,107.607,18019.817,14089,0.225,0.87,0.739919289,0.825758793,0.930441286,a
0.468,105.654,17529.483,14089,0.225,0.882,0.708139421,0.793420252,0.930441286,a
0.468,107.049,17924.599,14009.5,0.224,0.869,0.730839327,0.819478969,0.922513089,a
0.467,106.346,17692.998,14166.5,0.227,0.875,0.719399876,0.804204405,0.938170032,a
0.468,106.572,17825.851,14081.5,0.225,0.869,0.723077424,0.812966335,0.929693343,a
0.47,107.235,17886.102,14029.5,0.224,0.869,0.733865981,0.816940013,0.924507604,a
0.471,107.296,18049.56,14203,0.227,0.869,0.734858593,0.827720406,0.941810022,a
0.468,106.513,18065.531,14074,0.225,0.864,0.722117356,0.828773726,0.9289454,a
0.468,108.116,17903.435,14319,0.229,0.872,0.748201907,0.81808316,0.95337821,a
0.47,106.372,17847.163,14118.5,0.226,0.868,0.719822957,0.814371905,0.933383196,a
0.47,106.362,17588.926,13880,0.222,0.872,0.719660234,0.797340641,0.909598604,a
0.47,108.038,18096.487,14133.5,0.226,0.866,0.746932665,0.830815338,0.934879083,a
0.471,105.466,17532.858,13992,0.224,0.87,0.705080223,0.793642841,0.920767888,a
0.47,104.925,17511.187,14114,0.226,0.884,0.69627689,0.792213593,0.93293443,a
0.47,104.759,17410.739,13901,0.222,0.883,0.693575683,0.78558884,0.911692845,a
0.471,107.02,17805.407,14126.5,0.226,0.876,0.730367429,0.811618011,0.934181002,a
0.47,106.118,17678.608,14062,0.225,0.874,0.715689784,0.803255354,0.927748691,a
0.47,105.786,17557.43,14034.5,0.225,0.873,0.710287369,0.795263415,0.925006233,a
0.467,107.379,17529.416,13968,0.223,0.872,0.736209197,0.793415834,0.91837447,a
0.468,107.159,17973.861,13969,0.224,0.854,0.732629284,0.8227279,0.918474196,a
0.468,107.099,17164.467,13876,0.222,0.882,0.731652944,0.769346693,0.909199701,a
0.469,104.728,17274.817,13887.5,0.222,0.882,0.69307124,0.776624503,0.910346547,a
0.47,105.617,17556.9,13865,0.222,0.869,0.707537345,0.79522846,0.908102718,a
0.471,105.964,17653.183,13862,0.222,0.872,0.713183845,0.801578523,0.90780354,a
0.469,106.922,17517.436,13814,0.221,0.859,0.728772741,0.792625728,0.903016704,a
0.469,106.494,17282.138,13735,0.22,0.873,0.721808182,0.777107338,0.895138369,a
0.469,104.404,17194.968,13771.5,0.22,0.883,0.687799004,0.771358297,0.89877836,a
0.471,105.325,17284.17,13833,0.221,0.88,0.702785824,0.777241353,0.904911493,a
0.472,107.153,17586.112,13982,0.224,0.875,0.73253165,0.797155052,0.919770631,a
0.467,106.523,17721.268,13842,0.221,0.866,0.722280079,0.80606887,0.905809025,a
0.468,108.149,17867.443,13836.5,0.221,0.855,0.748738894,0.815709413,0.905260534,a
0.47,106.589,17484.713,13925.5,0.223,0.889,0.723354053,0.790467578,0.914136126,a
0.465,106.106,17588.267,13853.5,0.222,0.869,0.715494516,0.797297179,0.906955871,a
0.468,106.463,17612.589,14000.5,0.224,0.874,0.721303739,0.798901265,0.921615557,a
0.47,106.996,17433.219,13920.5,0.223,0.869,0.729976893,0.787071443,0.913637497,a
0.468,107.043,17690.37,13331.5,0.213,0.872,0.730741693,0.804031083,0.854899028,a
0.466,105.299,17665.737,13754.5,0.22,0.866,0.702362743,0.802406485,0.897083022,a
0.469,105.769,17516.963,13888.5,0.222,0.867,0.71001074,0.792594533,0.910446273,a
0.466,106.728,17353.258,13772,0.22,0.871,0.725615908,0.781797849,0.898828222,a
0.463,102.04,16613.195,13010,0.208,0.895,0.649331207,0.732989165,0.822837198,a
0.463,103.527,16829.612,13643,0.218,0.886,0.673528167,0.747262313,0.8859636,a
0.464,105.085,16936.833,13670,0.219,0.881,0.698880463,0.75433376,0.888656195,a
0.464,105.31,17090.619,13689.5,0.219,0.881,0.702541739,0.764476264,0.890600848,a
0.466,105.491,17136.54,13721.5,0.22,0.882,0.705487031,0.767504849,0.893792072,a
0.466,106.425,17351.787,13661,0.219,0.867,0.720685391,0.781700834,0.887758664,a
0.364,66.967,8749.35,6550,0.105,0.885,0.078611644,0.214352331,0.178608826,a
0.469,104.795,17028.426,13699.5,0.219,0.883,0.694161487,0.760374507,0.891598105,a
0.363,70.629,9040.537,6452,0.103,0.854,0.138200931,0.233556715,0.168835702,a
0.464,104.702,16910.724,12656,0.202,0.872,0.69264816,0.752611817,0.787534281,a
0.458,103.356,16529.442,13121.5,0.21,0.872,0.670745598,0.727465481,0.833956619,a
0.331,65.244,8097.5,6425,0.103,0.904,0.050574413,0.171361476,0.166143106,a
0.463,102.169,16098.665,12680,0.203,0.877,0.651430338,0.699054848,0.789927699,a
0.393,106.237,15348.937,11657,0.187,0.867,0.717626192,0.649608736,0.687908252,a
0.393,105.608,15121.29,11664.5,0.187,0.878,0.707390894,0.634594946,0.688656195,a
0.305,65.826,6788.007,5655,0.09,0.903,0.060044912,0.084997705,0.089354276,a
0.469,103.883,15827.607,12664.5,0.203,0.842,0.679321118,0.681178012,0.78838195,a
0.462,103.793,15839.76,12724,0.204,0.842,0.677856608,0.681979528,0.794315632,a
0.454,104.175,15758.362,12456,0.199,0.833,0.68407264,0.676611161,0.76758913,a
0.33,67.829,7304.771,6114,0.098,0.899,0.092638396,0.119079359,0.135128397,a
0.448,103.502,15402.944,12290,0.197,0.855,0.673121359,0.653170609,0.751034655,a
0.44,104.623,15631.602,12302.5,0.197,0.847,0.691362645,0.668251077,0.752281227,a
0.445,105.035,15943.628,12628.5,0.202,0.854,0.698066847,0.688829837,0.784791822,a
0.438,104.275,15577.809,12033,0.193,0.852,0.685699873,0.664703318,0.725405136,a
0.438,103.686,15541.98,12534.5,0.201,0.86,0.676115468,0.662340321,0.775417602,a
0.444,104.033,15664.445,12441.5,0.199,0.858,0.681761968,0.670417141,0.766143106,a
